factor,factor_bin,metric,method,prefix,n,mean,std,iqr,q05,q95,std_p90,unpredictable
data_size,19936.00746568184,precision_region_2,λ=2,divtree_lambda2_region2,191,0.49936719953017417,0.3180684744310211,0.4392145611915424,0.0594000898957951,1.0,0.31860070487473857,False
intensity,0.1498882271567853,precision_region_2,λ=4,divtree_lambda4_region2,184,0.4788622498262168,0.3174926863849387,0.43222263938417826,0.04303914705233704,1.0,0.3176570223321836,False
data_size,374641.26936243696,f1_region_2,TwoStep (tuned),twostep_tuned,231,0.42089760400924314,0.3174625941745301,0.5427408462330294,0.0,1.0,0.34179640817242274,False
noise,0.03399607980711228,f1_region_2,λ=8,divtree_lambda8_region2,202,0.48480862997932056,0.31740215174431907,0.5201627310851837,0.0,1.0,0.3497675285395157,False
data_size,24242.087597150792,f1_region_2,TwoStep (tuned),twostep_tuned,233,0.3860727434011803,0.317030589328577,0.5448163082572542,0.0,1.0,0.34179640817242274,False
intensity,0.3354720276494002,f1_region_2,TwoStep (tuned),twostep_tuned,204,0.4671707582305932,0.31690283791015655,0.46426424046065207,0.0,1.0,0.3442966324839895,False
noise,0.09578948302920401,f1_region_2,TwoStep (tuned),twostep_tuned,216,0.46495510345837504,0.3167480027053748,0.4261044784168262,0.0,1.0,0.34331462425450227,False
rareness,0.0222590323398234,fnr_region_2,TwoStep (recall),twostep_recall,222,0.8332198528355215,0.3165457827626787,0.15183317979085165,0.0,1.0,0.3486937994511189,False
rareness,0.0222590323398234,recall_region_2,TwoStep (recall),twostep_recall,222,0.1667801471644786,0.3165457827626787,0.15183317979085165,0.0,1.0,0.3486937994511189,False
data_size,16394.80890739932,f1_region_2,TwoStep (tuned),twostep_tuned,231,0.3823284870942666,0.31642613480647885,0.5616157135453503,0.0,1.0,0.34179640817242274,False
intensity,0.3763920367806187,f1_region_2,TwoStep (recall),twostep_recall,221,0.37951498067361694,0.3163218783208907,0.5435461189009836,0.0,1.0,0.33572519776697707,False
