factor,factor_bin,metric,method,prefix,n,mean,std,iqr,q05,q95,std_p90,unpredictable
rareness,0.21433751607024035,precision_region_2,TwoStep (tuned),twostep_tuned,483,0.47765035364456465,0.3193232887443247,0.5450923746798497,0.11176470588235295,1.0,0.38740544582759256,False
dispersion,0.13491305194743766,precision_region_2,λ=4,divtree_lambda4_region2,623,0.5569498939429406,0.3191989794591156,0.5985984402399834,0.07361976663595837,1.0,0.33917236320782856,False
noise,2.046805402410199,precision_region_2,λ=8,divtree_lambda8_region2,426,0.5417669794838091,0.3191189178865173,0.5598046125894146,0.07548076923076923,1.0,0.3258113248335312,False
noise,0.2047504283424231,precision_region_2,λ=8,divtree_lambda8_region2,393,0.577070717728337,0.3188343712924657,0.5890128547174388,0.07317073170731707,1.0,0.3258113248335312,False
noise,0.0012928585165887505,precision_region_2,λ=8,divtree_lambda8_region2,430,0.5928223775038872,0.3186529179453614,0.6436204859875897,0.08174383361204017,1.0,0.3258113248335312,False
dispersion,0.10784142958281023,precision_region_2,λ=8,divtree_lambda8_region2,545,0.5615081473663345,0.31850700055726205,0.6021807798836087,0.0750943396226415,1.0,0.34277236287307356,False
rareness,0.05668836221519578,f1_region_2,λ=4,divtree_lambda4_region2,243,0.1690492727110903,0.3185015110088438,0.11398367176051916,0.0,1.0,0.3769077654089158,False
noise,0.012924172211646637,precision_region_2,λ=8,divtree_lambda8_region2,411,0.6075467507985112,0.3182673427538213,0.6382548727448174,0.0983888292158969,1.0,0.3258113248335312,False
noise,2.046805402410199,precision_region_2,λ=2,divtree_lambda2_region2,399,0.567053411271408,0.31826553884758535,0.5926888167225621,0.07273843290243223,1.0,0.31857080858748177,False
data_size,1790.0594419330469,precision_region_2,λ=4,divtree_lambda4_region2,453,0.4491922910661889,0.3182514024017316,0.4834368530020704,0.018907563025210086,1.0,0.3186120202421891,False
data_size,11294.15008639454,precision_region_2,λ=8,divtree_lambda8_region2,416,0.5694610187396228,0.31816480584586915,0.5922125911465916,0.07407780689377141,1.0,0.31867392607990874,False
noise,2.046805402410199,precision_region_2,λ=4,divtree_lambda4_region2,419,0.5415288772945829,0.31813781321967305,0.5512020870524376,0.0674597552675806,1.0,0.32221309642920903,False
noise,8.146810152884804,f1_region_2,TwoStep (recall),twostep_recall,494,0.3495447509188836,0.3180562958920281,0.5577548034058586,0.0,0.9170597604776197,0.3767897655575654,False
rareness,0.21433751607024035,precision_region_2,TwoStep (recall),twostep_recall,505,0.46417463400345754,0.31791465032742994,0.5299003322259136,0.10089552238805972,1.0,0.3852468728546817,False
sparsity,5.0,f1_region_2,λ=2,divtree_lambda2_region2,1741,0.24296098150826462,0.317626198056439,0.5708756652152879,0.0,0.849204464497744,0.32042417507994103,False
rareness,0.05668836221519578,f1_region_2,λ=2,divtree_lambda2_region2,243,0.16022025530744827,0.31751870094687995,0.10128205128205128,0.0,1.0,0.3714824320098797,False
noise,0.00815515817940046,precision_region_2,λ=2,divtree_lambda2_region2,425,0.6091309706343159,0.31725697560515786,0.6365236875800256,0.08006322957198443,1.0,0.31857080858748177,False
data_size,4496.35407866857,precision_region_2,λ=8,divtree_lambda8_region2,403,0.527942053151409,0.31724887633960264,0.5768742904936547,0.050144648023143695,1.0,0.31867392607990874,False
